query,label
happy,wonder
smile,wonder
good vibes,wonder
inspired,transcendence
floating,transcendence
psychedelic,transcendence
sensual,tenderness
in love,tenderness
tender,tenderness
mellow,nostalgia
dreamy,nostalgia
soppy,nostalgia
calm,peacefullness
sleepy,peacefullness
chill,peacefullness
hype,power
wake up,power
motivated,power
get down,joyful activation
party,joyful activation
dance,joyful activation
pissed,tension
agitated,tension
irritated,tension
sad,sadness
tears,sadness
depressed,sadness